title,condition,buy_price
Harry Potter and the Prisoner of Azkaban,Good,4.59
Catching Fire,Good,7.09
The Hobbit,Acceptable,22.39
The Handmaid's Tale,Very Good,20.19
How to Win Friends and Influence People,Good,6.39
The Great Gatsby,Good,6.49
Verity,Good,5.69
Mockingjay,Acceptable,7.59
Harry Potter and the Goblet of Fire,Acceptable,9.89
The Giver,Good,4.79
Harry Potter and the Deathly Hallows,Acceptable,11.39
Charlotte's Web,Good,4.49
Pride and Prejudice,Very Good,29.09
The Seven Husbands of Evelyn Hugo,Good,6.29
Harry Potter and the Half-Blood Prince,Good,9.39
All the Light We Cannot See,Good,4.99
The Lion, the Witch and the Wardrobe,Good,4.19
Green Eggs and Ham,Good,6.39
Man's Search for Meaning,Very Good,10.39
The Book Thief,Good,4.59
Twilight,Good,9.79
Oh, the Thinks You Can Think!,Good,4.19
Educated,Good,4.39
Lord of the Flies,Very Good,6.69
Anne Frank: The Diary of a Young Girl,Very Good,18.99
The Silent Patient,Good,6.79
The Power of Now: A Guide to Spiritual Enlightenment,Good,6.19
The Nightingale,Very Good,12.89
Before We Were Yours,Good,4.39
Brave New World,Good,6.89
It Starts with Us,Good,4.89
Mere Christianity,Good,6.09
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,Good,5.69
Wuthering Heights,Acceptable,5.89
One Fish, Two Fish, Red Fish, Blue Fish,Good,4.19
Rich Dad, Poor Dad,Good,7.09
How the Grinch Stole Christmas!,Good,7.99
The Lightning Thief,Good,4.39
Harry Potter and the Order of the Phoenix,Acceptable,5.19
